Month,Trial ID,Drug / therapy,Short description,Company sponsor,Primary completion date,Phases,Study URL,Brief title,Press release check status,Checked against cutoff,Matched title,Matched source,Matched link,Matched publication date,Matched source type
January,NCT06754085,Florastamin[18F] Injection,Imaging agent being studied to help detect or evaluate Prostate Cancer.,"HTA Co., Ltd.",2026-01-01,PHASE3,https://clinicaltrials.gov/study/NCT06754085,Study of 18F-Florastamin PET/CT Imaging in Patients With Suspected Recurrence of Prostate Cancer,no_match_found,yes,,,,,
January,NCT05960929,Infasurf Aero™,"Investigational therapy being studied to treat Respiratory Distress Syndrome (Neonatal), Intubation Complication, and related conditions.",ONY,2026-01-01,PHASE3,https://clinicaltrials.gov/study/NCT05960929,InfasurfAero™ Versus Sham Treatment in Preterm Newborns With RDS,no_match_found,yes,,,,,
January,NCT06291376,Ravulizumab,Investigational therapy being studied to treat Immunoglobulin A Nephropathy.,"Alexion Pharmaceuticals, Inc.",2026-01-05,PHASE3,https://clinicaltrials.gov/study/NCT06291376,Study of Ravulizumab in Immunoglobulin A Nephropathy (IgAN),result_news_found_but_not_press_release,yes,Ravulizumab Significantly Reduces Proteinuria in Phase 3 IgAN Study,Monthly Prescribing Reference,https://www.empr.com/news/ravulizumab-significantly-reduces-proteinuria-in-phase-3-igan-study/,"Tue, 21 Apr 2026 08:51:00 GMT",media
January,NCT06079359,ALXN1850,Investigational therapy being studied to treat Hypophosphatasia.,"Alexion Pharmaceuticals, Inc.",2026-01-06,PHASE3,https://clinicaltrials.gov/study/NCT06079359,Phase 3 Study of ALXN1850 in Treatment-Naïve Pediatric Participants With HPP,result_news_found_but_not_press_release,yes,AstraZeneca scores pediatric win while adult trial falls short in rare bone disease,MSN,https://www.msn.com/en-us/health/diseases-and-conditions/astrazeneca-scores-pediatric-win-while-adult-trial-falls-short-in-rare-bone-disease/ar-AA1ZQaK8,"Tue, 31 Mar 2026 10:06:00 GMT",media
January,NCT06588283,Ixekizumab + Tirzepatide,Combination regimen being studied to treat Psoriasis and Obesity.,Eli Lilly and Company,2026-01-08,PHASE3,https://clinicaltrials.gov/study/NCT06588283,Ixekizumab Concomitantly Administered With Tirzepatide in Adults With Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight,result_news_found_but_not_press_release,yes,Eli Lilly and Company: Lilly's Taltz (ixekizumab) and Zepbound (tirzepatide) used together delivered superior efficacy in first-of-its-kind Phase 3b trial for adults with ...,Finanznachrichten,https://www.finanznachrichten.de/nachrichten-2026-02/67729203-eli-lilly-and-company-lilly-s-taltz-ixekizumab-and-zepbound-tirzepatide-used-together-delivered-superior-efficacy-in-first-of-its-kind-phase-3b-t-008.htm,"Wed, 18 Feb 2026 04:45:00 GMT",media
January,NCT04819100,Selpercatinib,"Investigational therapy being studied to treat Carcinoma, Non Small Cell Lung.",Eli Lilly and Company,2026-01-12,PHASE3,https://clinicaltrials.gov/study/NCT04819100,A Study of Selpercatinib After Surgery or Radiation in Participants With Non-Small Cell Lung Cancer (NSCLC),result_news_found_but_not_press_release,yes,Eli Lilly's experimental cancer drug cuts recurrence risk in early-stage lung cancer patients,MSN,https://www.msn.com/en-us/science/biochemistry/eli-lilly-s-experimental-cancer-drug-cuts-recurrence-risk-in-early-stage-lung-cancer-patients/ar-AA1Ww6yJ,"Tue, 17 Feb 2026 04:51:00 GMT",media
January,NCT05083182,Guselkumab + Ustekinumab,"Combination regimen being studied to treat Arthritis, Juvenile.","Janssen Research & Development, LLC",2026-01-12,PHASE3,https://clinicaltrials.gov/study/NCT05083182,A Study of Ustekinumab or Guselkumab in Pediatric Participants With Active Juvenile Psoriatic Arthritis,result_news_found_but_not_press_release,yes,Guselkumab exhibits ‘good efficacy’ in perianal fistulizing Crohn’s disease,Healio,https://www.healio.com/news/gastroenterology/20260514/guselkumab-exhibits-good-efficacy-in-perianal-fistulizing-crohns-disease,"Fri, 15 May 2026 04:09:00 GMT",media
January,NCT04657991,Binimetinib + Encorafenib + Pembrolizumab,Combination regimen being studied to treat Melanoma.,Pfizer,2026-01-12,PHASE3,https://clinicaltrials.gov/study/NCT04657991,"A Clinical Trial of Three Study Medicines (Encorafenib, Binimetinib, and Pembrolizumab) in Patients With Advanced or Metastatic Melanoma",no_match_found,yes,Updated Overall Survival Analysis From the Phase II PHAROS Study of Encorafenib Plus Binimetinib in Patients With BRAF V600E-Mutant Metastatic Non–Small Cell Lung Cancer,ascopubs.org,https://ascopubs.org/doi/10.1200/JCO-25-02023,"Sat, 18 Oct 2025 17:00:00 GMT",media
January,NCT04404283,Brentuximab vedotin + Lenalidomide + Rituximab,Combination regimen being studied to treat Diffuse Large B cell Lymphoma.,"Seagen, a wholly owned subsidiary of Pfizer",2026-01-12,PHASE3,https://clinicaltrials.gov/study/NCT04404283,Brentuximab Vedotin Plus Lenalidomide and Rituximab for the Treatment of Relapsed/Refractory DLBCL,result_news_found_but_not_press_release,yes,Brentuximab vedotin in combination with lenalidomide and rituximab in patients with relapsed/refractory diffuse large B-cell lymphoma: Safety and efficacy results from the ...,ascopubs.org,https://ascopubs.org/doi/10.1200/JCO.2022.40.16_suppl.7559,"Sun, 15 Mar 2026 03:36:00 GMT",media
January,NCT06248619,Teprotumumab,Investigational therapy being studied to treat Thyroid Eye Disease.,Amgen,2026-01-14,PHASE3,https://clinicaltrials.gov/study/NCT06248619,A Trial to Investigate Teprotumumab Subcutaneous Administration Compared With Placebo in Male and Female Adult Participants With Moderate-to-severe Active Thyroid Eye Disease,result_news_found_but_not_press_release,yes,AMGN's subcutaneous Tepezza scores phase III win in thyroid eye disease,MSN,https://www.msn.com/en-us/money/other/amgn-s-subcutaneous-tepezza-scores-phase-iii-win-in-thyroid-eye-disease/ar-AA20loSr,"Tue, 07 Apr 2026 08:02:00 GMT",media
January,NCT05559359,Lebrikizumab + Topical Corticosteroid (TCS),Combination regimen being studied to treat Atopic Dermatitis and Eczema.,Eli Lilly and Company,2026-01-14,PHASE3,https://clinicaltrials.gov/study/NCT05559359,A Study of Lebrikizumab (LY3650150) in Participants 6 Months to <18 Years of Age With Moderate-to-Severe Atopic Dermatitis,result_news_found_but_not_press_release,yes,Lebrikizumab delivered significant skin clearance and improved disease severity in children with moderate-to-severe atopic dermatitis,PharmiWeb,https://www.pharmiweb.com/press-release/2026-03-17/lebrikizumab-delivered-significant-skin-clearance-and-improved-disease-severity-in-children-with-moderate-to-severe-atopic-dermatitis,"Mon, 16 Mar 2026 16:59:00 GMT",media
January,NCT06239480,QTORIN 3.9% Rapamycin Anhydrous Gel,Investigational therapy being studied to treat Microcystic Lymphatic Malformation.,"Palvella Therapeutics, Inc.",2026-01-14,PHASE3,https://clinicaltrials.gov/study/NCT06239480,SELVA: A Phase 3 Study Evaluating QTORIN 3.9% Rapamycin Anhydrous Gel in the Treatment of Microcystic Lymphatic Malformations,result_news_found_but_not_press_release,yes,Palvella Therapeutics (PVLA) surges on positive phase 3 QTORIN SELVA data,MSN,https://www.msn.com/en-us/money/general/palvella-therapeutics-pvla-surges-on-positive-phase-3-qtorin-selva-data/ar-AA1WYXux,"Tue, 24 Feb 2026 08:22:00 GMT",media
