Trial ID,Drug / therapy,Company sponsor,Primary completion date,Phases,Study URL,Brief title,Press release check status,Checked against cutoff,Matched title,Matched source,Matched source URL,Matched link,Matched publication date,Matched description,Matched source type,Matched score,Matched keywords,Matched terms,Search query used
NCT05711940,Psilocybin,COMPASS Pathways,2026-02,PHASE3,https://clinicaltrials.gov/study/NCT05711940,"Efficacy, Safety, and Tolerability of Two Administrations of COMP360 in Participants With TRD",likely_press_release_found,yes,Compass Pathways Successfully Achieves Primary Endpoint in First Phase 3 Trial Evaluating COMP360 Psilocybin for Treatment-Resistant Depression,Business Wire,https://www.businesswire.com/news/home/20250623615674/en/Compass-Pathways-Successfully-Achieves-Primary-Endpoint-in-First-Phase-3-Trial-Evaluating-COMP360-Psilocybin-for-Treatment-Resistant-Depression/,https://www.businesswire.com/news/home/20250623615674/en/Compass-Pathways-Successfully-Achieves-Primary-Endpoint-in-First-Phase-3-Trial-Evaluating-COMP360-Psilocybin-for-Treatment-Resistant-Depression/,"Mon, 23 Jun 2025 03:33:00 GMT","“The positive top-line results at week 6 from the COMP005 trial underscore the innovative potential of psilocybin treatment in mental health care for which Compass Pathways continues to pave the way,” ...",press_release_wire,11,result | results | top-line | primary endpoint,psilocybin | comp360 | compass | pathways,"""psilocybin"" results phase 3 ""trd"""
NCT06615557,Fasedienol Nasal Spray,"VistaGen Therapeutics, Inc.",2026-04,PHASE3,https://clinicaltrials.gov/study/NCT06615557,Fasedienol Nasal Spray for the Acute Treatment of Anxiety in Adults With Social Anxiety Disorder (PALISADE-4),likely_press_release_found,yes,Vistagen Announces Preliminary Positive Data in Ongoing Open-Label Extension Portion of PALISADE-3 Phase 3 Study of Fasedienol for the Acute Treatment of Social Anxiety Disorder,Business Wire,https://www.businesswire.com/news/home/20260512521110/en/Vistagen-Announces-Preliminary-Positive-Data-in-Ongoing-Open-Label-Extension-Portion-of-PALISADE-3-Phase-3-Study-of-Fasedienol-for-the-Acute-Treatment-of-Social-Anxiety-Disorder,https://www.businesswire.com/news/home/20260512521110/en/Vistagen-Announces-Preliminary-Positive-Data-in-Ongoing-Open-Label-Extension-Portion-of-PALISADE-3-Phase-3-Study-of-Fasedienol-for-the-Acute-Treatment-of-Social-Anxiety-Disorder,"Tue, 12 May 2026 04:31:00 GMT","SOUTH SAN FRANCISCO, Calif.--(BUSINESS WIRE)--Vistagen (Nasdaq: VTGN), a late clinical-stage biopharmaceutical company pioneering neuroscience with nose-to-brain neurocircuitry to develop and ...",press_release_wire,12,positive data,fasedienol | acute | anxiety | social | disorder | vistagen,"""fasedienol"" vistagen results phase 3 ""nasal"""
NCT06630299,Antiretroviral Combinations + ISL/LEN,Gilead Sciences,2026-04,PHASE3,https://clinicaltrials.gov/study/NCT06630299,Study to Compare an Oral Weekly Islatravir/Lenacapavir Regimen With Standard of Care in Virologically Suppressed People With HIV-1,likely_press_release_found,yes,Gilead’s Investigational Single-Tablet Regimen of Bictegravir and Lenacapavir for HIV Treatment Meets Primary Endpoint in Phase 3 ARTISTRY-2 Trial,Business Wire,https://www.businesswire.com/news/home/20251215879862/en/Gileads-Investigational-Single-Tablet-Regimen-of-Bictegravir-and-Lenacapavir-for-HIV-Treatment-Meets-Primary-Endpoint-in-Phase-3-ARTISTRY-2-Trial,https://www.businesswire.com/news/home/20251215879862/en/Gileads-Investigational-Single-Tablet-Regimen-of-Bictegravir-and-Lenacapavir-for-HIV-Treatment-Meets-Primary-Endpoint-in-Phase-3-ARTISTRY-2-Trial,"Mon, 15 Dec 2025 00:30:00 GMT","FOSTER CITY, Calif.--(BUSINESS WIRE)--Gilead Sciences, Inc. (Nasdaq: GILD) today announced positive topline results from the Phase 3 ARTISTRY-2 trial. The double-blind trial evaluated the treatment ...",press_release_wire,9,result | results | topline | primary endpoint,lenacapavir | regimen | gilead | sciences,"""antiretroviral"" gilead results phase 3 ""hiv-1"""
NCT06630286,B/F/TAF + ISL/LEN + PTM B/F/TAF (+1 more),Gilead Sciences,2026-04-17,PHASE3,https://clinicaltrials.gov/study/NCT06630286,Study to Compare an Oral Weekly Islatravir/Lenacapavir Regimen With Bictegravir/Emtricitabine/Tenofovir Alafenamide in Virologically Suppressed People With HIV-1,likely_press_release_found,yes,Gilead’s Investigational Single-Tablet Regimen of Bictegravir and Lenacapavir for HIV Treatment Meets Primary Endpoint in Phase 3 ARTISTRY-2 Trial,Business Wire,https://www.businesswire.com/news/home/20251215879862/en/Gileads-Investigational-Single-Tablet-Regimen-of-Bictegravir-and-Lenacapavir-for-HIV-Treatment-Meets-Primary-Endpoint-in-Phase-3-ARTISTRY-2-Trial,https://www.businesswire.com/news/home/20251215879862/en/Gileads-Investigational-Single-Tablet-Regimen-of-Bictegravir-and-Lenacapavir-for-HIV-Treatment-Meets-Primary-Endpoint-in-Phase-3-ARTISTRY-2-Trial,"Mon, 15 Dec 2025 00:30:00 GMT","FOSTER CITY, Calif.--(BUSINESS WIRE)--Gilead Sciences, Inc. (Nasdaq: GILD) today announced positive topline results from the Phase 3 ARTISTRY-2 trial. The double-blind trial evaluated the treatment ...",press_release_wire,9,result | results | topline | primary endpoint,lenacapavir | regimen | bictegravir | gilead | sciences,"""more"" gilead results phase 3 ""virologically"""
NCT05248646,Sibeprenlimab 400 mg,"Otsuka Pharmaceutical Development & Commercialization, Inc.",2026-05-07,PHASE3,https://clinicaltrials.gov/study/NCT05248646,Trial of Sibeprenlimab in the Treatment of A Nephropathy (IgAN),likely_press_release_found,yes,Otsuka Sibeprenlimab Phase 3 Data Show a Statistically Significant and Clinically Meaningful Proteinuria Reduction for the Treatment of Immunoglobulin A Nephropathy (IgAN),Business Wire,https://www.businesswire.com/news/home/20250606873555/en/Otsuka-Sibeprenlimab-Phase-3-Data-Show-a-Statistically-Significant-and-Clinically-Meaningful-Proteinuria-Reduction-for-the-Treatment-of-Immunoglobulin-A-Nephropathy-IgAN,https://www.businesswire.com/news/home/20250606873555/en/Otsuka-Sibeprenlimab-Phase-3-Data-Show-a-Statistically-Significant-and-Clinically-Meaningful-Proteinuria-Reduction-for-the-Treatment-of-Immunoglobulin-A-Nephropathy-IgAN,"Thu, 05 Jun 2025 23:00:00 GMT","PRINCETON, N.J. & TOKYO--(BUSINESS WIRE)--Otsuka Pharmaceutical Development & Commercialization, Inc. and Otsuka Pharmaceutical, Co. Ltd. (Otsuka) today presented results from a pre-specified interim ...",press_release_wire,12,result | results | statistically significant,sibeprenlimab | nephropathy | igan | otsuka | development | commercialization,"""sibeprenlimab"" otsuka results phase 3 ""igan"""
NCT04853342,Drug: Furmonertinib 80 mg,"Allist Pharmaceuticals, Inc.",2026-01,PHASE3,https://clinicaltrials.gov/study/NCT04853342,"To Assess the Efficacy and Safety of Furmonertinib Versus Placebo, in Patients With Epidermal Growth Factor Receptor Mutation Positive Stage II-IIIA Non-small Cell Lung Carcinoma, Following Complete Tumour Resection With or Without Adjuvant Chemotherapy",result_news_found_but_not_press_release,yes,Revolution Medicines soars on phase 3 trial results. Is it too late to buy?,MSN,https://www.msn.com/en-us/money/top-stocks/revolution-medicines-soars-on-phase-3-trial-results-is-it-too-late-to-buy/ar-AA20NgYC,https://www.msn.com/en-us/money/top-stocks/revolution-medicines-soars-on-phase-3-trial-results-is-it-too-late-to-buy/ar-AA20NgYC,"Mon, 13 Apr 2026 14:01:00 GMT","Revolution Medicines (RVMD) shares soared on April 13 after the biotech firm said its pancreatic cancer drug, daraxonrasib, demonstrated an “unprecedented survival rate” in a Phase 3 clinical trial.",media,7,result | results | demonstrated,drug,"""drug"" results phase 3 ""non-small"""
NCT05297448,Rifaximin SSD,"Bausch Health Americas, Inc.",2026-01,PHASE3,https://clinicaltrials.gov/study/NCT05297448,Evaluation of Rifaximin SSD for Delaying Encephalopathy Decompensation in Patients With Cirrhosis,result_news_found_but_not_press_release,yes,Bausch Health’s RED-C phase 3 clinical programme of amorphous-rifaximin SSD in adults with liver cirrhosis for primary prevention of HE fails to meet primary endpoint,Pharmabiz,https://www.pharmabiz.com/NewsDetails.aspx?aid=183783&sid=2,https://www.pharmabiz.com/NewsDetails.aspx?aid=183783&sid=2,"Tue, 27 Jan 2026 09:00:00 GMT","Bausch Health Companies Inc., a global, diversified pharmaceutical company enriching lives through our relentless drive to deliver better health care outcomes, announced the results of the global ...",media,10,result | results | primary endpoint | fails to meet,rifaximin | ssd | cirrhosis | bausch | health,"""rifaximin"" bausch results phase 3 ""ssd"""
NCT06291376,Ravulizumab,"Alexion Pharmaceuticals, Inc.",2026-01-05,PHASE3,https://clinicaltrials.gov/study/NCT06291376,Study of Ravulizumab in Immunoglobulin A Nephropathy (IgAN),result_news_found_but_not_press_release,yes,Ravulizumab Significantly Reduces Proteinuria in Phase 3 IgAN Study,Monthly Prescribing Reference,https://www.empr.com/news/ravulizumab-significantly-reduces-proteinuria-in-phase-3-igan-study/,https://www.empr.com/news/ravulizumab-significantly-reduces-proteinuria-in-phase-3-igan-study/,"Tue, 21 Apr 2026 08:51:00 GMT",Ravulizumab achieves statistically significant and clinically meaningful proteinuria reduction in adults with IgA nephropathy by week 34. Topline data were announced from a phase 3 trial evaluating ...,media,9,topline | statistically significant | significantly reduces,ravulizumab | nephropathy | igan,"""ravulizumab"" alexion results phase 3 ""igan"""
NCT06079359,ALXN1850,"Alexion Pharmaceuticals, Inc.",2026-01-06,PHASE3,https://clinicaltrials.gov/study/NCT06079359,Phase 3 Study of ALXN1850 in Treatment-Naïve Pediatric Participants With HPP,result_news_found_but_not_press_release,yes,AstraZeneca scores pediatric win while adult trial falls short in rare bone disease,MSN,https://www.msn.com/en-us/health/diseases-and-conditions/astrazeneca-scores-pediatric-win-while-adult-trial-falls-short-in-rare-bone-disease/ar-AA1ZQaK8,https://www.msn.com/en-us/health/diseases-and-conditions/astrazeneca-scores-pediatric-win-while-adult-trial-falls-short-in-rare-bone-disease/ar-AA1ZQaK8,"Tue, 31 Mar 2026 10:06:00 GMT","AstraZeneca Plc AZN released topline data from the Phase 3 program for efzimfotase alfa (ALXN1850) in the broad hypophosphatasia (HPP) patient population. HPP is a rare, inherited metabolic disorder ...",media,9,topline,alxn1850 | hpp,"""alxn1850"" results phase 3 ""hpp"""
NCT06588283,Ixekizumab + Tirzepatide,Eli Lilly and Company,2026-01-08,PHASE3,https://clinicaltrials.gov/study/NCT06588283,Ixekizumab Concomitantly Administered With Tirzepatide in Adults With Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight,result_news_found_but_not_press_release,yes,Eli Lilly and Company: Lilly's Taltz (ixekizumab) and Zepbound (tirzepatide) used together delivered superior efficacy in first-of-its-kind Phase 3b trial for adults with ...,Finanznachrichten,https://www.finanznachrichten.de/nachrichten-2026-02/67729203-eli-lilly-and-company-lilly-s-taltz-ixekizumab-and-zepbound-tirzepatide-used-together-delivered-superior-efficacy-in-first-of-its-kind-phase-3b-t-008.htm,https://www.finanznachrichten.de/nachrichten-2026-02/67729203-eli-lilly-and-company-lilly-s-taltz-ixekizumab-and-zepbound-tirzepatide-used-together-delivered-superior-efficacy-in-first-of-its-kind-phase-3b-t-008.htm,"Wed, 18 Feb 2026 04:45:00 GMT","At 36 weeks in the TOGETHER-PsO study, concomitant Taltz and Zepbound met primary endpoint of superiority vs. Taltz monotherapy in achieving complete skin clearance (PASI 100) and =10% weight loss In ...",media,10,primary endpoint | superiority | superior,ixekizumab | tirzepatide | lilly,"""ixekizumab"" lilly results phase 3 ""overweight"""
